          Bruto        AliqINSS        Val.INSS       Base I.R.          AliqIR          Val.IR         Liquido 
        1650.22             8.0          132.02         1518.20             0.0            0.00         1518.20
        1653.19             8.0          132.26         1520.93             0.0            0.00         1520.93
        1660.87             8.0          132.87         1528.00             0.0            0.00         1528.00
        1666.66             8.0          133.33         1533.33             0.0            0.00         1533.33
        1684.39             8.0          134.75         1549.64             0.0            0.00         1549.64
        1695.50             8.0          135.64         1559.86             0.0            0.00         1559.86
        1698.86             8.0          135.91         1562.95             0.0            0.00         1562.95
        1716.95             8.0          137.36         1579.59             0.0            0.00         1579.59
        1742.46             8.0          139.40         1603.06             0.0            0.00         1603.06
        1752.63             9.0          157.74         1594.89             0.0            0.00         1594.89
        1757.07             9.0          158.14         1598.93             0.0            0.00         1598.93
        1760.52             9.0          158.45         1602.07             0.0            0.00         1602.07
        1766.67             9.0          159.00         1607.67             0.0            0.00         1607.67
        1768.81             9.0          159.19         1609.62             0.0            0.00         1609.62
        1777.71             9.0          159.99         1617.72             0.0            0.00         1617.72
        1784.48             9.0          160.60         1623.88             0.0            0.00         1623.88
        1790.59             9.0          161.15         1629.44             0.0            0.00         1629.44
        1803.84             9.0          162.35         1641.49             0.0            0.00         1641.49
        1821.86             9.0          163.97         1657.89             0.0            0.00         1657.89
        1847.49             9.0          166.27         1681.22             0.0            0.00         1681.22
        1867.56             9.0          168.08         1699.48             0.0            0.00         1699.48
        1884.88             9.0          169.64         1715.24             0.0            0.00         1715.24
        1891.33             9.0          170.22         1721.11             0.0            0.00         1721.11
        1892.79             9.0          170.35         1722.44             0.0            0.00         1722.44
        1904.09             9.0          171.37         1732.72             0.0            0.00         1732.72
        1913.51             9.0          172.22         1741.29             0.0            0.00         1741.29
        1916.22             9.0          172.46         1743.76             0.0            0.00         1743.76
        1920.94             9.0          172.88         1748.06             0.0            0.00         1748.06
        1925.23             9.0          173.27         1751.96             0.0            0.00         1751.96
        1927.87             9.0          173.51         1754.36             0.0            0.00         1754.36
        1929.10             9.0          173.62         1755.48             0.0            0.00         1755.48
        1931.12             9.0          173.80         1757.32             0.0            0.00         1757.32
        1937.05             9.0          174.33         1762.72             0.0            0.00         1762.72
        1937.09             9.0          174.34         1762.75             0.0            0.00         1762.75
        1937.38             9.0          174.36         1763.02             0.0            0.00         1763.02
        1938.00             9.0          174.42         1763.58             0.0            0.00         1763.58
        1939.60             9.0          174.56         1765.04             0.0            0.00         1765.04
        1945.44             9.0          175.09         1770.35             0.0            0.00         1770.35
        1945.55             9.0          175.10         1770.45             0.0            0.00         1770.45
        1954.86             9.0          175.94         1778.92             0.0            0.00         1778.92
        1963.69             9.0          176.73         1786.96             0.0            0.00         1786.96
        1971.26             9.0          177.41         1793.85             0.0            0.00         1793.85
        1971.91             9.0          177.47         1794.44             0.0            0.00         1794.44
        1977.88             9.0          178.01         1799.87             0.0            0.00         1799.87
        1979.69             9.0          178.17         1801.52             0.0            0.00         1801.52
        1996.16             9.0          179.65         1816.51             0.0            0.00         1816.51
